,Inputs,response,category
231,근로자대표가 휴무일에 산보위 참여 시 유급여부,근로자의 산업안전보건위원회 회의 참여는 유급으로 간주되어 추가 임금 지급 필요.,산업안전 보건위 구성
233,산업안전보건위원회 근로자위원의 직렬 구성,근로자위원은 직종별 비율을 고려하여 다양한 직렬을 반영하는 것이 바람직함.,산업안전 보건위 구성
234,산업안전보건위원회 사용자위원의 변경 시 심의 필요 여부,사용자위원 및 근로자위원의 변경은 산업안전보건위원회의 심의 대상 아님.,산업안전 보건위 구성
235,교대근무 근로자의 산보위 참여 시 근무자 교체 여부,산업안전보건법상 사업주는 교대근무자 배치 등 위원 활동 보장 조치 필요.,산업안전 보건위 구성
236,산업안전보건위원회에서 근골격계부담작업 유해요인조사 의결 여부,근골격계부담작업 유해요인조사는 위원회의 심의 및 의결이 가능함.,산업안전 보건위 구성
237,현업업무종사자에 대한 산업안전보건위원회 구성 가능 여부,현업업무종사자에 대해서만 산업안전보건위원회를 구성 가능.,산업안전 보건위 구성
238,산업안전보건위원회 회의 개최 시기 및 시간 규정,"산업안전보건위원회 회의는 근무시간 내에 개최할 수 있으며, 근무 외 시간은 유급 근로로 인정됨.",산업안전 보건위 구성
239,산업안전보건위원회 위원 임기와 교체 가능 여부,위원 임기 규정이 없다면 권한있는 자가 임기 중 위원 교체 가능.,산업안전 보건위 구성
240,기업부설연구소의 산업안전보건위원회 구성 필요 여부,상시근로자 수가 100명 이상인 연구개발업은 산업안전보건위원회 구성 필요.,산업안전 보건위 구성
241,산업안전보건위원회 비대면 회의 가능 여부,근로자위원 전국 활동 시 코로나19 예방 위해 비대면 가능.,산업안전 보건위 구성
243,산업안전보건위원회의 심의에 학교 급식종사자 질환 예방 포함 가능 여부,"근로자 건강관리 관련 심의 가능, 단체협약과의 상충 여부 고려.",산업안전 보건위 구성
244,산업안전보건위원회의 사용자위원으로 안전관리자 2명 포함 가능 여부,"사용자위원은 대표와 안전관리자 1명, 보건관리자 1명 포함하여 구성.",산업안전 보건위 구성
245,산업안전보건위원회 회의 참석 불가 시 직무 대리 허용 여부,직무 대리는 가능하나 1년 내내 대리 위임은 입법 취지와 부합하지 않음.,산업안전 보건위 구성
246,대학에서 산업안전보건위원회 근로자위원 자격 여부,"교육서비스업은 청소, 시설관리, 조리 담당 근로자만 근로자위원 자격.",산업안전 보건위 구성
456,산업안전보건위원회에서 원청의 하청 근로자 안전조치 요구 가능 여부,산업안전보건법 제63조에 따라 원청은 하청에 대해 안전조치 요구 가능함.,산업안전 보건위 구성
479,산업안전보건위원회 근로자대표 선출 기준,"근로자대표는 민주적 절차에 의해 선출되며, 과반 지지를 받아야 함.",산업안전 보건위 구성
549,노사협의체 구성 시 하도급 업체 포함 여부,20억원 이상 공사는 하도급 근로자 대표 포함 필요함.,산업안전 보건위 구성
537,퇴직급여 충당금의 안전관리비 사용 가능 여부,퇴직급여 충당금은 산업안전보건관리비로 사용 가능함.,산업안전보건관리비
538,공사기간 연장 시 안전관리비 조정 계상 여부,단순 공기 연장 시 발주자가 안전관리비를 조정할 의무는 없음.,산업안전보건관리비
539,철도 작업 시 열차접근경보기의 안전관리비 사용 가능 여부,철도안전법 의무사항으로 규정된 열차접근경보기는 안전관리비 사용이 불가함.,산업안전보건관리비
540,공사기간 단축 설계 변경의 법 위반 여부,설계 변경으로 공사기간이 단축되더라도 정당한 사유가 있는 경우 위법이 아님.,산업안전보건관리비
541,안전전담직원의 인건비를 안전관리비로 사용할 수 있는지,본사 안전전담직원 인건비는 개별 현장 안전관리비의 5% 내에서 사용 가능.,산업안전보건관리비
2,산업재해는 어떤 경우에 발생으로 간주되나요?,"근로자가 업무와 관련하여 건설물, 설비, 원재료 등에 의해 부상을 당하거나 사망할 경우 산업재해로 간주됩니다.",산업재해 정의 및 사례
12,외국에서 발생한 재해에 산업안전보건법이 적용되나요?,"산업안전보건법은 국내에서 발생한 재해에만 적용되며, 외국에서는 적용되지 않습니다.",산업재해 정의 및 사례
18,항공기 운항 중 발생하는 업무에 산안법이 적용되나요?,"항공기 운항 중에는 항공안전법이 적용되며, 지상 업무에 대해서는 산안법이 적용됩니다.",산업재해 정의 및 사례
73,연명치료 중 보호자 요청으로 사망한 경우 사고사망만인율에 포함되나요?,산업재해로 인한 연명치료 후 보호자 요청으로 사망한 경우에도 사고사망만인율에 포함됩니다.,산업재해 정의 및 사례
75,골프장 캐디의 산업재해 발생 시 재해건수에 포함되나요?,골프장 캐디가 산재보험에 가입된 경우 해당 사업장의 재해건수에 포함됩니다.,산업재해 정의 및 사례
77,사고사망만인율 산정 시 출퇴근 중 발생한 재해는 포함되나요?,출퇴근 중 발생한 재해는 건설현장에서 발생하지 않으면 사고사망만인율에서 제외됩니다.,산업재해 정의 및 사례
79,산재율 산정 시 특수형태근로자의 사고는 포함되나요?,특수형태근로자는 건설현장에서 근로자로 인정되면 산재율에 포함됩니다.,산업재해 정의 및 사례
88,중대재해 발생 시 협력사의 재해 건수는 원청에 포함되나요?,같은 장소에서 작업한 경우 협력사의 재해 건수도 원청의 재해 건수에 포함됩니다.,산업재해 정의 및 사례
253,산업재해 발생 시 사업주 의무사항은 무엇인지,산업재해가 발생하면 사업주는 즉시 재해보고를 하고 재발 방지 대책을 수립해야 함.,산업재해 정의 및 사례
387,산재발생보고 시 ‘지체없이’의 판단기준,재해자 구호 등 이후 바로 보고해야 함.,산업재해 정의 및 사례
390,근로자의 작업중지 권리,산업재해 발생 급박한 위험 시 작업중지 및 대피 가능.,산업재해 정의 및 사례
391,산재발생보고 휴업일수 포함 여부,의사 진단에 따른 휴업일수 포함하며 공휴일과 무관.,산업재해 정의 및 사례
426,직영화 주유소 운영의 산업재해 책임 범위,직영화 주유소도 도급인의 사업장으로 간주되며 안전조치 의무 발생.,산업재해 정의 및 사례
298,수상작업 안전조치 의무,구명조끼 착용과 인명구조용 선박 배치 필요.,수상작업 안전
337,익사 사고에 대한 안전보건규칙 적용 가능 여부,강의 수심 측정 등 물 관련 작업은 안전보건규칙 적용 가능.,수상작업 안전
359,수상 또는 선박건조작업의 정의와 구명구 지급 필요성,물 위에서 이루어지는 작업 중 물에 빠질 위험이 있을 경우 구명구 지급 필요.,수상작업 안전
52,전기사업의 안전보건관리체제는 어떻게 운영해야 하나요?,전기사업은 사업장이 아닌 사업장 단위로 안전보건관리체제를 운영합니다.,안전관리 조직체계
11,사무직만 근로하는 데이터센터의 안전보건관리책임자는 필요한가요?,상시 근로자 수가 17명인 데이터센터는 안전보건관리책임자 지정 대상이 아닙니다.,안전관리자 역할
40,콜센터를 포함한 용역 회사는 안전보건관리책임자를 선임해야 하나요?,"사업지원 서비스업으로 분류되며, 상시근로자 300명 이상일 경우 선임해야 합니다.",안전관리자 역할
78,사무직만 사용하는 사업장의 경우 안전관리자 선임 의무가 있나요?,사무직만을 사용하는 사업장은 원칙적으로 안전관리자 선임 의무가 없습니다.,안전관리자 역할
26,현장 근로자의 고위험 작업 교육은 필수인가요?,고위험 작업을 수행하는 근로자는 반드시 관련 교육을 이수해야 합니다.,안전교육 및 훈련
251,근로자에 대한 안전보건교육 실시 주체가 누구인지,근로자에 대한 안전보건교육은 근로자가 소속된 사업장의 사업주가 실시해야 함.,안전교육 및 훈련
256,화학물질 취급 근로자에 대한 안전교육 필요 여부,화학물질을 취급하는 근로자는 반드시 물질안전보건자료(MSDS) 교육을 받아야 함.,안전교육 및 훈련
257,특별교육 대상 작업에 대한 교육 주기는 어떻게 되는지,특별교육 대상 작업의 교육은 신규 채용 시 및 작업 내용 변경 시 이루어져야 함.,안전교육 및 훈련
259,직무교육이 필요한 근로자의 범위는 어떻게 되는지,고위험 작업에 종사하는 근로자뿐만 아니라 사무직 이외의 근로자도 직무교육을 이수해야 함.,안전교육 및 훈련
261,건설업 근로자의 채용 시 안전보건교육은 몇 시간인지,건설업 근로자는 4시간 이상의 기초안전보건교육을 이수해야 함.,안전교육 및 훈련
262,유해화학물질 취급 작업 시 MSDS 교육을 반드시 받아야 하는지,"유해화학물질을 취급하는 근로자는 반드시 MSDS 교육을 받아야 하며, 이는 법적 의무임.",안전교육 및 훈련
267,근로자가 신입 시 정기교육 대신 특별교육을 받아야 하는 경우는 언제인지,유해한 환경에서 작업을 시작하는 근로자는 정기교육 대신 해당 작업에 대한 특별교육을 받아야 함.,안전교육 및 훈련
268,산업안전보건법상 교육 미이수 시 제재 사항은 무엇인지,"법정 교육을 이수하지 않은 경우 사업주는 벌금을 물게 되며, 반복 위반 시 추가 제재가 있음.",안전교육 및 훈련
269,특별안전보건교육 대상 작업은 무엇이 있는지,"고위험 작업, 화학물질 취급 작업, 기계 조작 작업 등은 특별안전보건교육 대상에 해당함.",안전교육 및 훈련
270,안전보건교육의 주기는 어떻게 정해지는지,"안전보건교육은 작업 특성에 따라 연간, 분기별 등으로 주기를 정하여 실시해야 함.",안전교육 및 훈련
271,관리감독자 교육을 매년 받아야 하는지,"관리감독자는 매년 정기적으로 직무교육을 받아야 하며, 이를 이수하지 않으면 법적 제재를 받을 수 있음.",안전교육 및 훈련
272,안전보건교육 위탁이 가능한지,안전보건교육은 고용노동부가 인정한 교육기관에 위탁하여 실시할 수 있음.,안전교육 및 훈련
273,사무직 근로자도 안전보건교육을 받아야 하는지,"사무직 근로자는 주로 정기교육을 받으며, 위험 작업에 해당하는 경우 특별교육도 받을 수 있음.",안전교육 및 훈련
275,유해물질이 포함된 제품을 취급할 때 특별교육이 필요한가,유해물질을 포함한 제품을 취급하는 경우 해당 작업에 대한 특별교육을 이수해야 함.,안전교육 및 훈련
276,고용노동부의 감독으로 특별교육이 이루어져야 하는 경우는 언제인지,유해물질 사고가 발생하거나 법령 위반이 적발된 경우 고용노동부의 감독으로 특별교육이 이루어질 수 있음.,안전교육 및 훈련
277,정기 안전보건교육의 기본 시간 기준은 무엇인지,"정기 안전보건교육은 최소 3시간 이상으로 실시해야 하며, 업무 특성에 따라 다를 수 있음.",안전교육 및 훈련
278,안전관리자가 재지정되었을 때 보수교육을 받아야 하는지,안전관리자는 재지정될 경우 신규교육이 아닌 보수교육을 받아야 함.,안전교육 및 훈련
279,안전보건 교육 시 자격이 필요한 강사는 누구인지,안전보건 교육을 실시하는 강사는 고용노동부가 지정한 자격을 보유한 자여야 함.,안전교육 및 훈련
280,안전보건 교육 이수 시 법적 효력이 있는 수료증은 무엇인지,고용노동부가 등록한 교육기관이 발급한 수료증만이 법적 효력이 있음.,안전교육 및 훈련
281,화학설비 사용 작업 시 특별교육이 필요한가,"화학설비를 사용하는 작업은 특별안전보건교육 대상이며, 이를 이수하지 않으면 벌금이 부과될 수 있음.",안전교육 및 훈련
95,대표이사의 안전보건계획 수립 시 협력회사 근로자 포함 여부,협력회사 근로자의 안전보건 계획도 포함해야 함.,안전보건관리 규정
96,안전보건관리책임자 선임 단위,장소적으로 분산된 사업장은 별개의 사업장으로 봄.,안전보건관리 규정
97,안전보건관리책임자 자격 요건,사업을 실질적으로 총괄관리하는 사람을 선임해야 함.,안전보건관리 규정
99,안전보건관리담당자 선임 대상 업종 기준,20명 이상 50명 미만 사업장의 제조업 등은 담당자 선임 대상임.,안전보건관리 규정
100,안전 및 보건에 관한 계획 변경 시 절차,계획 초과 예산 발생 시 별도 절차는 규정되어 있지 않음.,안전보건관리 규정
104,공동 건물의 안전보건관리책임자 지정 시 각 회사의 책임 여부,공동 건물에서도 각 회사는 소속 근로자의 안전 및 보건 조치를 해야 함.,안전보건관리 규정
121,안전관리자와 보건관리자의 중복 활용 가능 여부,안전관리대행기관 인력은 다른 안전보건 교육에 중복 활용 불가.,안전보건관리 규정
122,동일 사업장에서 여러 법인의 안전관리자 공동선임 가능 여부,동일 주소지 법인의 상시근로자를 합산하여 안전관리자 선임.,안전보건관리 규정
123,안전보건관리자 선임 시 업종 기준,사업장 등록증 상의 업종이 아닌 실제 근로 형태 기준.,안전보건관리 규정
124,공동작업 현장의 안전관리책임자 선임 기준,동일 공사 조직 및 체계로 시공 시 단일 안전관리책임자 가능.,안전보건관리 규정
126,시간제 근로자 안전관리자 선임 가능 여부,가능하나 안전 업무 공백 없도록 근무시간 배치 필요.,안전보건관리 규정
138,산업안전보건법상 안전보건관리 책임자의 자격 요건,총괄적인 안전보건 업무를 담당할 자격 필요.,안전보건관리 규정
149,사무직 근로자의 안전관리자 선임 예외,사무직만 있는 사업장은 안전관리자 선임 제외 가능함.,안전보건관리 규정
157,산업공학과 졸업자의 안전관리자 자격 여부,산업공학과는 안전관련 학과로 보기 어려움.,안전보건관리 규정
158,안전관리전문기관의 정밀점검 시기,"정밀점검은 사망원인 확인 후 수행, 기존 계약기관이 수행.",안전보건관리 규정
159,전담 안전관리자의 타법 업무 수행 가능 여부,전담 안전관리자는 산업안전보건법 이외 업무 수행 불가.,안전보건관리 규정
163,임금피크제 대상자 안전관리자 선임 가능 여부,주 5일 근무 기준이 충족되지 않는 임금피크제 대상자는 안전관리자로 선임 어려움.,안전보건관리 규정
164,임금피크제 근로자의 안전관리자 선임 가능 여부,주 5일 근무 기준 충족 시 안전관리자로 선임 가능함.,안전보건관리 규정
167,사업장 계약 변경 시 신규 정밀점검 수행 여부,단순한 사업장 명칭 변경의 경우 추가 정밀점검은 필요하지 않음.,안전보건관리 규정
169,안전관리자 선임 관련 질의,상시근로자가 300명 이상인 사업장의 경우 전담 안전관리자 선임 필요함.,안전보건관리 규정
172,안전관리자의 겸직 위반 여부,전담 안전관리자는 산업안전보건법 업무 외 다른 업무 겸직 불가.,안전보건관리 규정
173,안전관리전문기관 인력 요건에 인간공학기술사 포함 여부,인간공학기술사는 안전기술사 기준에 해당되지 않음.,안전보건관리 규정
174,교통안전관리자와 안전관리자 겸임 가능 여부,교통안전관리자로 선임된 안전관리자는 안전관리자 겸임 가능.,안전보건관리 규정
175,상시근로자 300명 이상 사업장의 안전관리자 전담 여부,상시근로자 300명 이상 사업장 안전관리자는 전담 업무만 수행.,안전보건관리 규정
179,교통안전담당자와 안전관리자 업무 겸직 가능 여부,교통안전담당자 업무는 안전관리자 업무에 포함됨.,안전보건관리 규정
181,안전관리자가 환경기술인을 겸임할 수 있는지 여부,산업안전보건법에서는 안전관리자의 겸직을 허용하지 않음.,안전보건관리 규정
182,환경기술인이 보건관리자를 겸임할 수 있는지 여부,상시근로자 300명 미만 사업장에서 환경기술인이 보건관리자를 겸임할 수 있음.,안전보건관리 규정
183,안전관리자의 업무범위에서 보건관리자와 협력이 필요한 이유,안전관리자와 보건관리자가 협력하여 각자의 업무를 수행해야 함.,안전보건관리 규정
184,사무직 사업장에서 안전관리자 미선임 시 벌칙 여부,"사무직만을 사용하는 사업장은 안전관리자 선임 의무가 없으며, 미선임에 대한 과태료 없음.",안전보건관리 규정
186,안전관리자의 겸직 가능 여부,"교통안전관리자는 산업안전보건법에 따른 안전관리자로 겸임 가능하나, 상시근로자 300명 이상 사업장은 전담 필요.",안전보건관리 규정
188,안전관리자가 1달 이상 병가 시 대체 가능 여부,"일시적인 부재 시 업무 수행은 가능하나, 3개월 이상 공석 시 교체가 바람직함.",안전보건관리 규정
189,보건환경학과 전공자의 안전관리자 자격 여부,보건환경학과는 산업안전 관련 학위로 보기 어려우나 보건관리자 자격 요건에 충족됨.,안전보건관리 규정
191,안전보건관리담당자 선임 기준과 범위,상시근로자 20명 이상 50명 미만의 사업장에 1명 이상 선임 필요.,안전보건관리 규정
242,산업안전보건관리규정에 근로자 건강관리 내용 포함 가능 여부,산업안전보건관리규정 및 심의사항에 근로자 건강관리 포함 가능.,안전보건관리 규정
248,산업안전보건관리규정 작성 시 근로자대표 동의 필요 여부,상시근로자 100명 이상 사업장은 근로자대표 동의를 받아야 함.,안전보건관리 규정
249,본사 각 본부별 안전보건관리규정 작성 가능 여부,"동일 사업장이라면 단일 규정 작성, 단 세부 조정 가능.",안전보건관리 규정
258,안전보건관리자 지정 기준은 무엇인지,"일정 규모 이상의 사업장은 안전보건관리자를 필수로 지정해야 하며, 이를 충족하지 않을 시 제재 가능.",안전보건관리 규정
406,발전소 운영 위탁 시 안전보건관리책임자 지정 필요 여부,도급사업주는 도급인의 사업장에서 안전관리책임자를 지정해야 함.,안전보건관리 규정
661,천장크레인 조종 작업 시 자격이 필요한지 여부,조종석이 설치된 천장크레인 작업은 관련 자격증을 보유한 사람이 수행해야 함.,안전보건교육
662,입식 리치전동지게차 조종 시 자격이 필요한지 여부,지게차 운전기능사 자격 또는 소형건설기계 교육 이수자만이 지게차를 조종할 수 있음.,안전보건교육
663,컨테이너 크레인 조종자격 완화 요청에 대한 회신,"컨테이너 크레인의 전문성 강화를 위해 자격을 한정하며, 자격 완화는 불가함.",안전보건교육
665,타워크레인 설치 해체 작업 자격 기준,타워크레인 설치 및 해체 작업자는 자격증 보유자 또는 정규 교육 이수자여야 함.,안전보건교육
666,비계작업 보조자 자격 필요 여부,비계 조립 및 해체 작업 보조자는 자격 제한을 받지 않음.,안전보건교육
668,고소작업대 조종 자격 교육 시간 요청,고소작업대 조종 자격은 신규 교육과정 20시간 이수 필요함.,안전보건교육
669,지게차 조종 특례기간에 사이버 교육 가능 여부,"코로나-19 특례기간에 한시적으로 운영한 비대면 교육이며, 지속 대체는 어려움.",안전보건교육
671,건설현장 터널 내 장약작업 자격 필요 여부,터널 내 발파작업은 관련 자격증 소지자 또는 지정된 교육 이수자가 수행해야 함.,안전보건교육
67,안전보건총괄책임자 지정 요건은 무엇인가요?,도급인 사업장의 전체 상시 근로자 수가 100명 이상일 경우 안전보건총괄책임자를 지정해야 합니다.,안전보건총괄책임자 지정
106,공용시설의 안전보건총괄책임자 지정 가능 여부,수급인이 공용시설의 안전보건총괄책임자를 지정하는 것은 곤란함.,안전보건총괄책임자 지정
397,안전보건총괄책임자 지정 기준,100인 이상 사업장 대상이며 상시 근로자 포함 기준.,안전보건총괄책임자 지정
398,프랜차이즈 점포의 안전보건총괄책임자 지정,상주와 비상주 관계없이 안전보건총괄책임자 필요.,안전보건총괄책임자 지정
440,도로관리 위탁계약에서의 안전보건총괄책임자 지정 기준,"A가 안전보건총괄책임자로 지정되며, 상시 작업일수가 60일 미만일 경우 협의체 운영 제외 가능.",안전보건총괄책임자 지정
515,사업장 간 통합된 안전보건 총괄책임자 운영 가능 여부,각 사업장이 독립적 사업장으로 간주되면 사업장별로 총괄책임자를 지정하고 협의체 구성 필요.,안전보건총괄책임자 지정
60,위험성평가는 누구에게 적용되나요?,위험성평가는 현업업무 여부와 관계없이 모든 사업주에게 적용됩니다.,위험성 평가
287,도급사와 수급사가 공동으로 위험성평가를 실시할 경우 인정 여부,공동 수행시 각각 위험성평가를 실시한 것으로 인정 가능함.,위험성 평가
288,위험성평가 업무 위탁 및 컨설팅 가능 여부,위험성평가 업무는 산업안전보건 전문가의 컨설팅을 받을 수 있음.,위험성 평가
525,안전보건점검의 종류,"작업장 순회점검, 합동안전보건점검 외에 법령 준수 점검 등 포함됨.",위험성 평가
526,순회점검 및 합동점검 업무 위탁 가능 여부,업무 위탁은 가능하며 결과 확인과 조치 필요함.,위험성 평가
528,24시간 가동 설비 작업장 순회점검 기준,연속 가동 시 근무일 기준이 아닌 일수 기준으로 점검 실시.,위험성 평가
534,작업장 순회점검 주기 설정 방법,"건설업 등 특정 업종은 2일에 1회, 기타 업종은 1주일에 1회 순회점검이 필요.",위험성 평가
372,유해위험방지계획서 제출 기준과 제출해야 하는 사업장 구분,"장소적으로 분리된 사업장은 별도의 사업장으로 간주, 유해위험방지계획서 제출 구분 필요.",유해위험방지계획서
373,동일 사업장 내 각기 다른 제품을 생산하는 공정별 유해위험방지계획서 제출 필요 여부,개별 제품 생산 공정별로 유해위험방지계획서를 독립 제출 가능.,유해위험방지계획서
375,PSM 변경관리 시 유해위험방지계획서 제출 면제 가능 여부,PSM 보고서를 통한 변경관리는 유해위험방지계획서 제출 갈음 가능.,유해위험방지계획서
376,공정안전보고서 제출 시 유해위험방지계획서 추가 제출 여부,공정안전보고서를 제출한 경우 유해위험방지계획서 추가 제출 필요 없음.,유해위험방지계획서
377,공동도급 공사 시 유해위험방지계획서 제출 방법,공동이행 방식 공사는 유해위험방지계획서를 통합 제출 가능.,유해위험방지계획서
379,유해위험방지계획서 미제출 과태료 책임,사업주가 제출의무를 준수하지 않은 경우 과태료 부과 대상.,유해위험방지계획서
380,대기환경전문공사업 등록업체가 유해위험방지계획서 제출 안내 시 책임 범위,대기환경전문공사업 등록업체는 법규를 정확히 안내할 책임 있음.,유해위험방지계획서
282,위험성평가사 자격제도 운영 여부,위험성평가사 자격제도는 현재 운영하고 있지 않음.,자격제도 운영
283,"위험성평가 교육 관련, 민간단체 위탁 지정 여부 및 법적근거",사업장의 위험성평가를 지원하기 위해 한국산업안전보건공단에서 교육과정을 개설하여 운영 중.,자격제도 운영
284,안전보건교육 위탁전문기관의 지정 절차 여부,안전보건교육 위탁전문기관의 요건은 같은 법 시행령 제26조의10에서 규정하고 있음.,자격제도 운영
252,근로자의 작업환경측정 필요 여부,근로자의 작업환경측정은 유해물질 노출 가능성이 있는 작업장에서 필수적으로 수행됨.,작업환경 측정
652,작업환경측정의 주체가 누구인지,"작업환경측정은 근로자를 고용한 사업주가 실시할 의무가 있으며, 도급인의 경우도 일정 조건에서 의무를 가짐.",작업환경측정
653,작업환경측정 주기가 6개월인 경우 측정 일수 기준 여부,"6개월 주기는 회계연도 기준으로 해석하며, 일수 기준이 아님.",작업환경측정
654,작업환경측정 시 허용기준 초과 시 과태료 부과 기준,"허용기준 초과 시 과태료는 감독관이 측정하여 초과한 경우에 부과되며, 자체 측정 결과는 해당되지 않음.",작업환경측정
655,야자보행매트의 분진이 작업환경측정 대상 유해인자인지,코코넛 껍질 섬유분진은 작업환경측정 대상 유해인자인 목분진으로 볼 수 없으나 환기와 보호구 착용을 권고함.,작업환경측정
656,단시간 용접작업 시 작업환경측정 여부,"단시간 작업의 경우 작업환경측정을 하지 않을 수 있지만, 현장 상황에 따라 측정 여부를 결정할 수 있음.",작업환경측정
657,스토다드솔벤트의 작업환경측정 대상 여부,스토다드솔벤트에 벤젠이 0.1% 이상 함유된 경우 특별관리물질로 분류되어 작업환경측정을 해야 함.,작업환경측정
658,간접노출 근로자에 대한 작업환경측정 실시 여부,"최고노출근로자를 대상으로 측정하며, 간접노출 근로자에 대해 추가 측정은 권장 사항임.",작업환경측정
659,금속분진 발생 작업장에서 망간 및 산화철 측정 필요 여부,레일과 차륜의 마찰로 발생하는 금속분진에 노출되는 근로자가 있는 작업장은 작업환경측정을 실시해야 함.,작업환경측정
660,병원 화장실 변기시트 크리너 사용이 작업환경측정 대상인지,화장실 이용은 작업으로 보기 어려워 작업환경측정 및 특수건강진단 대상이 아님.,작업환경측정
672,정기감독 대상 제외 대상 여부,"산업안전보건 업무담당 근로감독관 집무규정(고용노동부훈령 제63호) 제9조제1항제3호 단서의 ‘해당 공정(업무)이 폐쇄된 사업장’이란 해당 공정(업무)이 없어지거나 가동이 영구적으로 중단된 경우, 기타 이에 준하는 경우로서 현재의 공정(업무)으로는 직업병 발생 가능성이 전혀 없는 경우를 말하는 것이라고 볼 수 있음. 작업내용이나 방법 등이 대폭 변경되어 직업병 발생 가능성이 전혀 없는 경우에는 해당 사업장으로 판단할 수도 있음.",재해조사 및 감독
673,재해조사 관련 관할 지청,"근로감독관 집무규정(산업안전보건) 제25조에 따라 재해발생 장소를 관할하는 지방관서의 감독관이 재해조사를 처리하여야 하며, 특정 조건에 해당할 경우에는 사업장 소재지 관할 지방관서에서 처리하도록 규정하고 있음.",재해조사 및 감독
682,산안법 위반 시 벌칙 부과 주체가 누구인지,"산업안전보건법상 의무의 주체가 법인 사업주인 경우, 법인의 대표자 중 안전보건업무를 실질적으로 총괄 관리하는 자가 처벌받게 됨.",재해조사 및 감독
688,과태료 처분을 직권 취소할 수 있는지 여부,과태료를 자진납부하여 종결된 처분이라도 행정청이 당사자가 제출한 의견에 상당한 이유가 있다고 판단하면 직권 취소할 수 있음.,재해조사 및 감독
691,사업장에서 중대 재해 발생 시 초기 위반에 과태료 3차 위반 금액을 부과할 수 있는지,고용노동부 장관 고시 사항에 따라 중대재해가 발생한 사업장에는 3차 이상 위반 시 금액으로 과태료를 부과할 수 있음.,재해조사 및 감독
664,지게차 교육 비용 지원 여부,"훈련비 지원 가능하며, 자세한 사항은 고용노동부 HRD-Net 홈페이지 참조.",정부지원사업
675,안전투자혁신사업 소급 지원 적용,"우리부에서는 산재 사망사고 예방을 위한 근원적 안전을 확보하고자 안전투자 혁신사업을 시행하고 있으며, 지원대상 위험기계 중 노후도를 고려하여 엄격한 심사를 통해 우선순위를 정하여 지원하고 있음. 사업 시행 전 이미 교체가 이루어진 경우에는 지원 대상이 아님.",정부지원사업
676,"안전투자혁신사업 취지, 소급 적용 방안",산재 사망사고 예방을 위해 시행되는 안전투자 혁신사업은 정책의 사각지대에 있는 위험기계를 교체하여 사고를 예방하기 위함. 지원을 받은 장비는 임의처분 시 보조금 환수 등의 불이익을 받을 수 있음.,정부지원사업
677,이동식장비 소유시점 제한에 관한 신청자격,"안전투자혁신사업의 지원 신청은 노후도, 보유기간 등을 고려하여 심사하며, 2020년 12월 31일 이전 소유한 장비만 신청 가능함. 이후 구입하여 지원을 받으려는 행위를 제한하기 위함.",정부지원사업
678,차량부를 제외한 노후위험기계만 지원대상으로 한정,안전인증 제도 시행 이전 제작된 위험기계는 상부와 하부 구조 모두를 새 기계로 교체하는 조건으로 지원. 이는 위험기계의 근원적 안전성을 확보하기 위한 정책임.,정부지원사업
679,고소작업대 방호장치 설치와 관련된 비용지원절차,"고소작업대의 방호장치 설치비용을 사업장 당 최대 3천만원까지 지원하며, 한국산업안전보건공단으로 문의하여 세부 절차를 확인할 수 있음.",정부지원사업
300,추락재해방지지침 적용 여부,산업안전보건법에 따른 추락방지 방망 사용 시 지침 적용.,추락 방지 조치
322,굴착작업 시 추락방호망 설치 기준,작업면으로부터 10미터를 초과하지 않도록 설치해야 함.,추락 방지 조치
325,말비계 작업 시 추락방지 조치 필요 여부,말비계 위 작업 시 추락방지 조치가 필요함.,추락 방지 조치
335,제1종 및 제2종 안전난간의 차이,"제1종, 제2종 안전난간의 구체적 구분은 없으며, 개정 검토 중.",추락 방지 조치
340,수직보호망 설치 요건,낙하물 방지를 위해 수직보호망 또는 방호선반 설치가 필요.,추락 방지 조치
348,안전난간대 설치 높이 기준,상부 난간대는 바닥면에서 120cm 이하에 설치해야 함.,추락 방지 조치
350,추락 위험 작업 규정,근로자가 추락할 위험이 있는 장소에서 작업 시 안전조치 필요.,추락 방지 조치
422,근로자의 추락방지를 위한 난간 및 추락방호망 설치 기준,2미터 이상의 작업장에서는 근로자가 안전대를 착용할 수 있도록 설비 설치 필요.,추락 방지 조치
7,불법파견 사업장의 사업주는 누구로 간주되나요?,불법파견 적발 시 사용사업주가 산업안전보건법상 사업주로 간주됩니다.,하청/도급 관련
8,"납품업자가 마트에서 근로를 제공하는 경우, 사업주는 누구인가요?","납품업자는 산업안전보건법상 사업주의 의무를 지며, 마트는 사업주의 의무가 없습니다.",하청/도급 관련
21,납품업자 소속 근로자의 산업안전보건법 적용 여부는?,"납품업자 소속 근로자는 납품업자가 산업안전보건법상 의무를 지며, 근로관계에 따라 적용됩니다.",하청/도급 관련
57,도급계약 종료 후에도 안전조사 책임이 남아 있나요?,도급 계약 종료 후 2년 6개월 이내에 안전조사가 가능합니다.,하청/도급 관련
72,준공 후 AS공사에서 하청업체의 재해가 원도급사에 포함되나요?,AS공사 하청업체의 재해는 시공사가 발주자가 아닌 경우 원도급사에 포함되지 않습니다.,하청/도급 관련
80,산업안전보건법상 도급인의 재해 발생 건수에 하청의 재해가 포함되나요?,같은 장소에서 작업하는 경우 하청의 재해 발생 건수도 도급인의 재해 건수에 포함됩니다.,하청/도급 관련
